"","question.1","question.4","question.0","question.8","question.5","question.9","question.6","question.3","question.7","question.2","comprehensionquestion.1.correct","comprehensionquestion.4.correct","comprehensionquestion.0.correct","comprehensionquestion.8.correct","comprehensionquestion.5.correct","comprehensionquestion.9.correct","comprehensionquestion.6.correct","comprehensionquestion.3.correct","comprehensionquestion.7.correct","comprehensionquestion.2.correct","temperature_scale"
"284","Atmospheric pressure","Higher","32°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","False","True","True","False","True","True","True","True","True","Fahrenheit"
"285","Rainfall","Higher","0°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","False","False","False","True","True","False","True","False","False","False","Fahrenheit"
"286","Atmospheric pressure","Lower","32°","Cumulonimbus","Fall in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","False","True","True","True","False","Fahrenheit"
"287","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","False","True","Fahrenheit"
"288","Atmospheric pressure","Higher","100°","Cumulus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Evaporation","Oceans and land heat up and cool down at the same speed","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","False","False","False","False","False","False","Fahrenheit"
"289","Temperature","Higher","0°","Stratus","Spring in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans and land heat up and cool down at the same speed","Snowy weather","The amount of rain an area receives","False","False","False","False","False","False","True","False","False","False","Fahrenheit"
"290","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Celsius"
"291","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","True","True","False","True","False","Fahrenheit"
"292","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit"
"293","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","False","True","True","False","True","Fahrenheit"
"294","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","False","True","True","Fahrenheit"
"295","Atmospheric pressure","Lower","32°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","False","True","True","False","True","True","Fahrenheit"
"296","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","False","True","Fahrenheit"
"297","Atmospheric pressure","Lower","32°","Cumulonimbus","Fall in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","False","True","False","False","False","Fahrenheit"
"298","High tide","Lower","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Heat density","Land absorbs and stores more heat energy than oceans","Snowy weather","The average weather over an extended period of time","False","True","True","False","True","False","False","False","False","True","Fahrenheit"
"299","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","True","False","False","False","Fahrenheit"
"300","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Celsius"
"301","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit"
"302","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","False","True","False","Fahrenheit"
"303","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"304","Rainfall","Higher","0°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Evaporation","Land heats up and cools down quicker than oceans","Snowy weather","The average weather over an extended period of time","False","False","False","False","True","False","False","True","False","True","Fahrenheit"
"305","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Celsius"
"306","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","False","True","False","Fahrenheit"
"307","Atmospheric pressure","Higher","32°","Cumulus","Summer in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","False","False","True","True","False","True","Fahrenheit"
"308","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Evaporation","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","True","False","False","True","False","Fahrenheit"
"309","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","False","True","False","True","False","True","False","True","True","Fahrenheit"
"310","Rainfall","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","False","False","True","False","True","True","True","True","False","True","Fahrenheit"
"312","Atmospheric pressure","Lower","32°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","True","True","True","True","False","Celsius"
"315","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","False","True","True","Fahrenheit"
"316","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","False","False","False","False","Fahrenheit"
"317","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit"
"318","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","False","True","Fahrenheit"
"319","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"320","Atmospheric pressure","Higher","32°","Cumulus","Summer in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","False","False","True","True","False","False","True","Fahrenheit"
"321","Atmospheric pressure","Lower","32°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","True","True","True","True","False","Fahrenheit"
"322","Atmospheric pressure","Higher","34°","Cirrus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","False","False","False","False","False","False","Fahrenheit"
"323","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","False","False","Fahrenheit"
"325","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","True","False","True","False","True","True","Fahrenheit"
"326","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","True","True","Fahrenheit"
"327","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit"
"328","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","False","True","False","True","False","Celsius"
"329","High tide","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","False","False","True","False","True","False","True","False","False","False","Fahrenheit"
"330","Rainfall","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","False","True","True","False","True","False","True","False","False","True","Fahrenheit"
"331","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","False","False","False","True","Fahrenheit"
"332","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","False","True","Fahrenheit"
"333","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"334","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","False","True","False","False","Fahrenheit"
"335","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"336","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","True","False","False","True","Fahrenheit"
"337","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","True","False","Fahrenheit"
"338","Rainfall","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Snowy weather","The average weather over an extended period of time","False","False","True","True","True","False","True","True","False","True","Fahrenheit"
"341","Rainfall","Higher","0°","Stratus","Spring in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","False","False","False","False","False","False","False","True","False","True","Fahrenheit"
"342","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Celsius"
"343","Rainfall","Lower","0°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","False","True","False","True","True","False","False","False","False","False","Celsius"
"344","Atmospheric pressure","Higher","32°","Cirrus","Fall in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","False","False","True","False","False","False","Celsius"
"345","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","True","False","False","Fahrenheit"
"346","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","False","False","Fahrenheit"
"347","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Celsius"
"348","Atmospheric pressure","Higher","32°","Stratus","Summer in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","False","False","True","True","False","True","False","Celsius"
"349","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","True","True","False","Fahrenheit"
"350","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","False","True","False","True","Fahrenheit"
"353","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","True","False","False","True","True","False","True","Celsius"
"354","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","False","False","True","False","True","True","Fahrenheit"
"355","Atmospheric pressure","Lower","34°","Cumulus","Fall in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","False","False","False","True","True","True","True","False","Celsius"
"356","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Fahrenheit"
"357","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"358","Atmospheric pressure","Higher","0°","Cumulus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Heat density","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","False","True","False","False","False","False","Fahrenheit"
"360","Temperature","Higher","32°","Cumulonimbus","Summer in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","False","False","True","True","False","False","True","False","True","True","Celsius"
"363","Atmospheric pressure","Higher","100°","Cumulonimbus","Fall in the northern hemisphere","It decreases heat transfer from the body to the environment","Evaporation","Land heats up and cools down quicker than oceans","Stormy weather","The amount of rain an area receives","True","False","False","True","False","False","False","True","False","False","Celsius"
"364","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","False","True","Fahrenheit"
"365","Atmospheric pressure","Lower","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","True","True","False","False","False","Fahrenheit"
"366","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The temperature of the air","True","True","True","True","True","False","True","False","True","False","Fahrenheit"
"367","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","False","True","True","False","True","Celsius"
"369","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","True","True","Fahrenheit"
"370","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","False","False","Fahrenheit"
"371","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"372","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","True","True","Fahrenheit"
"373","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Evaporation","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","False","False","False","True","Celsius"
"374","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","True","False","False","False","Fahrenheit"
"375","Temperature","Lower","0°","Cumulonimbus","Spring in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land absorbs and stores more heat energy than oceans","Snowy weather","The condition of the atmosphere at a certain place and time","False","True","False","True","False","False","True","False","False","False","Celsius"
"376","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","True","True","True","True","False","Fahrenheit"
"377","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Fahrenheit"
"378","Atmospheric pressure","Lower","32°","Cumulus","Fall in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","False","True","True","False","True","True","Fahrenheit"
"380","Atmospheric pressure","Lower","34°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","False","False","True","True","True","True","True","True","Celsius"
"381","Temperature","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The average weather over an extended period of time","False","True","True","True","False","False","True","False","True","True","Fahrenheit"
"382","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit"
"383","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","False","True","True","True","False","True","True","True","True","Fahrenheit"
"384","Temperature","Lower","32°","Cirrus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Condensation","Land absorbs and stores more heat energy than oceans","Snowy weather","The condition of the atmosphere at a certain place and time","False","True","True","False","True","False","False","False","False","False","Celsius"
"385","Atmospheric pressure","Lower","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","False","True","False","True","False","False","True","Fahrenheit"
"386","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","True","True","Fahrenheit"
"387","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","False","False","False","False","Fahrenheit"
"388","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","True","True","True","True","False","Fahrenheit"
"389","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","True","True","True","Celsius"
"390","High tide","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Snowy weather","The temperature of the air","False","True","True","True","False","False","False","False","False","False","Fahrenheit"
"391","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Fahrenheit"
"392","High tide","Higher","100°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Heat density","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","False","False","False","True","False","True","False","False","True","False","Fahrenheit"
"393","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","True","True","False","True","Fahrenheit"
"394","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","False","True","False","Celsius"
"395","High tide","Higher","32°","Stratus","Spring in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Condensation","Oceans and land heat up and cool down at the same speed","Calm weather","The amount of rain an area receives","False","False","True","False","False","False","False","False","True","False","Fahrenheit"
"396","Atmospheric pressure","Higher","32°","Cumulonimbus","Fall in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","False","False","True","True","False","True","Fahrenheit"
"397","Atmospheric pressure","Lower","32°","Stratus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Evaporation","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","False","False","False","False","True","True","Fahrenheit"
"398","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","False","True","True","False","True","Fahrenheit"
"399","Temperature","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Heat density","Land absorbs and stores more heat energy than oceans","Snowy weather","The average weather over an extended period of time","False","False","True","False","True","False","False","False","False","True","Celsius"
"400","Atmospheric pressure","Lower","32°","Cumulus","Spring in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","False","False","False","True","False","False","True","Fahrenheit"
"401","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","True","True","True","False","False","Fahrenheit"
"402","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","True","True","False","Fahrenheit"
