"","question.1","question.4","question.0","question.8","question.5","question.9","question.6","question.3","question.7","question.2","comprehensionquestion.1.correct","comprehensionquestion.4.correct","comprehensionquestion.0.correct","comprehensionquestion.8.correct","comprehensionquestion.5.correct","comprehensionquestion.9.correct","comprehensionquestion.6.correct","comprehensionquestion.3.correct","comprehensionquestion.7.correct","comprehensionquestion.2.correct","temperature_scale","workerId_hash"
"299","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","True","False","False","False","Fahrenheit","5cccf14ab111795aa21c7a21d5c9cec36cced2f6061345473316a4946e3c8230"
"300","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Celsius","13d7ddcbd0f791a3c7b7cb5ad618344c5ceef2fb0e4da1ff56a03407145a3e04"
"301","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit","f3046cc08a66cad20355d3f0b10ca6d1644aa3a3a539cd3b50cb00660b3e7670"
"302","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","True","True","False","True","False","Fahrenheit","8120d2872fc13111aa709519f5aee9b9a835616739d0c117ed4090713e16c3a6"
"303","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","dc57605f7928a9a354b07ddcf0eeb9f223ea0f6a934fe35ad110455cc75520f4"
"304","Rainfall","Higher","0°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Evaporation","Land heats up and cools down quicker than oceans","Snowy weather","The average weather over an extended period of time","False","False","False","False","True","False","False","True","False","True","Fahrenheit","7143fb822b65e1c5cfdee326be301e11811e6b1d6c79280b90482497471527ff"
"305","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Celsius","9de07d8abe46e7e093b8b40bccc9fb955909371f765af09f0eeebcd92ce82e3b"
"306","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","False","True","False","Fahrenheit","5b105e230e690aade642ddfd5bce0726cdf9281ccb05bfdcfd7aaccd0bff7700"
"307","Atmospheric pressure","Higher","32°","Cumulus","Summer in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","False","False","True","True","False","True","Fahrenheit","5925a465fa65087650674506f1a2104f025361be36e13962a49a738634d41aef"
"308","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Evaporation","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","True","False","False","True","False","Fahrenheit","0f06d30a3c127866bc9dd377681589d40e25d658986ed1c20492e5648f86c225"
"309","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","False","True","False","True","False","True","False","True","True","Fahrenheit","5efdc46c8db0cc1b89700898b1aaa812dc7b4c9bb616d1589ad7aba333ece8c5"
"310","Rainfall","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","False","False","True","False","True","True","True","True","False","True","Fahrenheit","15c77dcc93ab581a3fbb773098ef8f1a06b3d8849462742737bccb8bc1cf2592"
"312","Atmospheric pressure","Lower","32°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","True","True","True","True","False","Celsius","33396e68376252cddb4951cfe79e94d269076a2192cb896f13742c24940446df"
"315","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","False","True","True","Fahrenheit","604bb47b97b20ea45a92bdee8dbbfa2c3405307f7f581d164135107ba3978228"
"316","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","False","False","False","False","Fahrenheit","ad1ce1c2360c3ac7b6635e2b2d07f9f85da1c1abdd126d63ff2ad7f351a1c832"
"317","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","False","True","True","Fahrenheit","becec8655cc5c9d73b54c3a96a66f625d81ecc2c3f2933f7bbd7942dfffa6566"
"318","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","False","True","Fahrenheit","54d8af655063ca0dc6eba55324a0819aa8996d44b5428b7d79d876c1f84cd32d"
"319","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","18c54978d52c7f0ac47c4042b636e0866cfd7dbc5cc73912dc2a49bb52e0ddf2"
"320","Atmospheric pressure","Higher","32°","Cumulus","Summer in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","False","True","False","False","True","True","False","False","True","Fahrenheit","795da49be3ac9ab0de643e8bd798e061134451a431e63151df91d5ec7dbd6080"
"321","Atmospheric pressure","Lower","32°","Cumulonimbus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","True","True","True","True","False","Fahrenheit","ae19b090a94f8d6a3e41b1023ea9dbc84f72b5e45a7ab6822ffe46c3d672d8d0"
"322","Atmospheric pressure","Higher","34°","Cirrus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","False","False","False","False","False","False","Fahrenheit","ece66280d478bac92e4a64fbc3cbdba55d660a1b5427429d077b4448281c57d4"
"323","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","False","False","Fahrenheit","831098a132036d5464d328739384496f72f5a4adc548b3cd35bc5fd79cda50f2"
"325","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","True","False","True","False","True","True","Fahrenheit","fe50cbf98fe5f9b375b7058c90509181c087c5512d2d09cdbf4ebcaaac5d40b2"
"326","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","True","True","Fahrenheit","dd591913c71f304179b5497b1965eb8c5cb54dc28cef96057f5d68f865c3441f"
"327","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","True","True","Fahrenheit","5efa7f49b5ef44066c9b932d02c4a36439796ca1229fad686f63a769803c33e1"
"328","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","False","False","True","False","True","False","Celsius","cedf6bdc6ae74e9b2a5c58428227b92879692bbf608d48599c04c1e41850ca62"
"329","High tide","Higher","32°","Stratus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","False","False","True","False","True","False","True","False","False","False","Fahrenheit","0447043e8358f9ab7d9bbe508cc7d9ff872b228bd08906bb224d79ef7649941b"
"330","Rainfall","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","False","True","True","False","True","False","True","False","False","True","Fahrenheit","eb791360dcf60bff0d5c32b4e6f337b5023d37b070ca87c25360b8cba3fadf91"
"331","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","False","False","False","True","Fahrenheit","db8aeccdc52afedfa19ec384a579317adc3ecab538902d9a883735a935f72aad"
"332","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","False","True","Fahrenheit","ce1354f05d220ffbc0a7f1efc592134e7b11cafb5f67103b48103177a39be027"
"333","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","49a918aa411770f04a5c0bfdc648cbe22acc2323c28573f993c5744c575185c6"
"334","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","False","True","False","False","Fahrenheit","a9556d6e5928f2712e591948a9cd87d2dcf622b01298a727c2cc1f8f3fb81c8a"
"335","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","57a6472068ff2a89d4b63d8a1f0b04f50e85fa7be0c04ece889123380c284d4a"
"336","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","True","False","False","True","Fahrenheit","3b2ff00911d718023b4b4099df6a0c41de5bdc061d5795130213da7cb0493994"
"337","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","True","False","Fahrenheit","e8223b113dda72c50e8717fe93eab793263c567fff6d14ba72a0c278ae9fa68b"
"338","Rainfall","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Snowy weather","The average weather over an extended period of time","False","False","True","True","True","False","True","True","False","True","Fahrenheit","5a32d327822423f05a438b257eca9eb83f8b2ffbd56629439f0e9fb9b4bbf57a"
"341","Rainfall","Higher","0°","Stratus","Spring in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","False","False","False","False","False","False","False","True","False","True","Fahrenheit","b632c982b5a47aeb9e5962ef74ebf1945a7cb6cda7c842bb4a5e15c1f0dcd4bd"
"342","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Celsius","3bf9319b632720fb14b636a5bfe43b5fbb980c771c919e919ad70bc5a57bd949"
"343","Rainfall","Lower","0°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","False","True","False","True","True","False","False","False","False","False","Celsius","56f638249bddb6b3dcd97057d30c189a89e9b79b883a646e063ce185d2fd7660"
"344","Atmospheric pressure","Higher","32°","Cirrus","Fall in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","False","False","True","False","False","False","Celsius","fafde5956c2c9b28b227b71c9ea666b3134eae8a3429ea5f1e2d586759f16eba"
"345","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","True","False","False","Fahrenheit","475a55a3a78e1bfd9a9acbd782f9a08ab5c46053a5decc4d9476e117c19ada95"
"346","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","False","True","False","False","False","Fahrenheit","909b48898801ef2263d759f621fd2e173ae430f40cf34b65a8b0c646d8814d6e"
"347","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Celsius","6893c5ec6582e1501454034cae479c7b41f07845fcb5e983241193668e685d5d"
"348","Atmospheric pressure","Higher","32°","Stratus","Summer in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","False","False","True","True","False","True","False","Celsius","1f30d88277b7a53b6ccd3415ef637e90573f255c415a62117c49798b48dda6d4"
"349","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","False","True","True","True","False","Fahrenheit","8cff0b9ef83195179be3a6a87899df58085f1237ae5bf2852c4dd73501df52cb"
"350","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Condensation","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","True","False","True","False","True","Fahrenheit","713c89b1b7cceabad0df910e4caa5d32adcb549e098630f1d7b2e117b4709729"
"353","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","True","True","True","False","False","True","True","False","True","Celsius","fe4ab14b64020726ce710709ec3b8fea9d609dab5f5309f510bfe8729f904b45"
"354","Atmospheric pressure","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","False","False","True","False","True","True","Fahrenheit","2ea0defcf191975bba4885ccb5393e29875f58f2bd471f6f09a4ddb41ed67153"
"355","Atmospheric pressure","Lower","34°","Cumulus","Fall in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","False","False","False","True","True","True","True","False","Celsius","c55fa3c7c942abe89d2aa738977aba1ec0e86a5b644b07bb18fbb1d214b32a6b"
"356","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","True","True","False","False","True","Fahrenheit","de40f826b5c071ee3583c0339304340c83a896d8541e8b94e456adfdc217480e"
"357","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","b4e85832edc86a5a6bb369366d73ea53d0738424ba0d76409e7bf1ba09ff731c"
"358","Atmospheric pressure","Higher","0°","Cumulus","Spring in the northern hemisphere","It increases heat transfer from the body to the environment","Heat density","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","False","False","False","True","False","False","False","False","Fahrenheit","0c85c553cf8d0033d04fa8234ac18b7a3bc9fb6d5676ceb1e9160f54313ebc79"
"360","Temperature","Higher","32°","Cumulonimbus","Summer in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","False","False","True","True","False","False","True","False","True","True","Celsius","f0ebe5318706ac291f77e23fd0ab09befe3972cd2c1b805ac7e042c1915e2fe9"
"363","Atmospheric pressure","Higher","100°","Cumulonimbus","Fall in the northern hemisphere","It decreases heat transfer from the body to the environment","Evaporation","Land heats up and cools down quicker than oceans","Stormy weather","The amount of rain an area receives","True","False","False","True","False","False","False","True","False","False","Celsius","a81a2ff84be8473a956c43b958121fca0f36be8b59c21510b21e96f2d0e6728c"
"364","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","True","True","True","True","False","False","True","Fahrenheit","140a9d8452eee750c8aff1b6a198094b3dc34387da5d49e52268ad0597890ba7"
"365","Atmospheric pressure","Lower","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","True","True","False","False","False","Fahrenheit","7566c9b9808672ddd670c6a34fc2fa5da700a0a0783bf68cbddd1be7487b54fe"
"366","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The temperature of the air","True","True","True","True","True","False","True","False","True","False","Fahrenheit","613ec83cea665f5fe7dd430ebd2820b2d5a65f0f72f8646d3bac8a74613c06b0"
"367","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","True","True","False","True","True","False","True","Celsius","a9b94ca4f8950d42cbad349989da7bf0cbbe9cfca3965bb5d27a9de070f8f501"
"369","Atmospheric pressure","Higher","32°","Stratus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","True","True","Fahrenheit","dddfb3ad993a8f6ecd2d10aa7dd6183514d66dd73a817e18088cb2a7a170e0f3"
"370","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","False","False","Fahrenheit","39e3de8a718f5c56f262192f1b08a100e333877ba8c1dd70193c9d6562f757a9"
"371","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","fa89cdef78fd5a5f1722ba92043fbba07938ebb6172339b332ba6e40541bf1c1"
"372","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","False","True","False","True","True","True","False","True","True","Fahrenheit","1ee774b83226fa88d476d2c90e65802f57ad5c1ac81c9dbbaaa974add28e95f2"
"373","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Evaporation","Land absorbs and stores more heat energy than oceans","Stormy weather","The average weather over an extended period of time","True","False","True","False","True","False","False","False","False","True","Celsius","326e2bf1c095811c820dca43c18dce82114669a46f8dae75ca529d83335ba983"
"374","Atmospheric pressure","Higher","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","True","False","False","False","Fahrenheit","a0b33f0d4d9fd899e83a7a99fc3d06277bcb097fa379a23f8fe29451383ec5f9"
"375","Temperature","Lower","0°","Cumulonimbus","Spring in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Humidity","Land absorbs and stores more heat energy than oceans","Snowy weather","The condition of the atmosphere at a certain place and time","False","True","False","True","False","False","True","False","False","False","Celsius","3f33b7727c57990fcb2b5eed0c0e3ab2209b0c4297385ebdd6deb11a08693d6c"
"376","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","False","True","True","True","True","True","True","True","False","Fahrenheit","40e8324e204afd3b26d42c0c97307da2af7a70485e8010c77eef760adb696a23"
"377","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land absorbs and stores more heat energy than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Fahrenheit","c1c9c63846e4b0ceb44328beeb5dd161fc343f11c743ce71ebd2d9fc60cff1a5"
"378","Atmospheric pressure","Lower","32°","Cumulus","Fall in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The average weather over an extended period of time","True","True","True","False","False","True","True","False","True","True","Fahrenheit","e4773b9eda37177933a9323ebbaa7c037218f0edb9cad44b53effa99453c164f"
"380","Atmospheric pressure","Lower","34°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","False","False","True","True","True","True","True","True","Celsius","c04a4b979c5ca5112c033de67817a55d8de990824401559670468eb524f27455"
"381","Temperature","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Oceans and land heat up and cool down at the same speed","Calm weather","The average weather over an extended period of time","False","True","True","True","False","False","True","False","True","True","Fahrenheit","f6633f0f01b89d7bc532bcb0a501102ee2bf9702a25b19bf619f6a09e5d10b30"
"382","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","True","True","True","True","True","Fahrenheit","0ce48aea3e019e54f772e92729cbe8591f652508873b1c3a953371bb228783c8"
"383","Atmospheric pressure","Higher","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","False","True","True","True","False","True","True","True","True","Fahrenheit","913cae7a7fa5d46be41725e88f603f73ee784496618cc7dfd3e9979c04bf9912"
"384","Temperature","Lower","32°","Cirrus","Winter in the northern hemisphere","It causes precipitation to become more frequent, thus lowering ambient temperatures","Condensation","Land absorbs and stores more heat energy than oceans","Snowy weather","The condition of the atmosphere at a certain place and time","False","True","True","False","True","False","False","False","False","False","Celsius","73806aca338aa31fa531da774854b57963d7e9f2c39de9d323a479e594174a67"
"385","Atmospheric pressure","Lower","32°","Cirrus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Stormy weather","The average weather over an extended period of time","True","True","True","False","True","False","True","False","False","True","Fahrenheit","b692386000bea408f67d0fb0fe0a22a13f514b07263ec3c8ed570ffec7997290"
"386","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","False","True","True","True","True","True","True","Fahrenheit","b0a100ce94033de7f06e933039eaa43b012ef1ad0fe3d5dad627cc1d6c266f84"
"387","Atmospheric pressure","Higher","32°","Cirrus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Land absorbs and stores more heat energy than oceans","Stormy weather","The condition of the atmosphere at a certain place and time","True","False","True","False","True","False","False","False","False","False","Fahrenheit","9080d36b97aa4402cc817d00dc5cbaeabbe7aae37e08cb2d8c64fb4be10a81cd"
"388","Atmospheric pressure","Lower","32°","Cumulus","Winter in the northern hemisphere","It increases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","False","True","True","True","True","True","False","Fahrenheit","4c5b89939f3046efbae3f129b11453322e9de68cce0034010a5f999eb6cc4349"
"389","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It decreases heat transfer from the body to the environment","Humidity","Land heats up and cools down quicker than oceans","Calm weather","The average weather over an extended period of time","True","True","True","True","True","False","True","True","True","True","Celsius","332f61f5078c4e99783b0875e98c69d96e0dd0410f71f2c268f4e611586113b4"
"390","High tide","Lower","32°","Cumulonimbus","Summer in the northern hemisphere","It decreases heat transfer from the body to the environment","Condensation","Oceans heat up and cool down quicker than land","Snowy weather","The temperature of the air","False","True","True","True","False","False","False","False","False","False","Fahrenheit","f8e4da083a6cbda78e53392e1a014a06ee0f980734a2493469b3f94eb4f908f9"
"391","Atmospheric pressure","Lower","32°","Cumulonimbus","Winter in the northern hemisphere","It increases heat transfer from the environment to the body","Humidity","Oceans heat up and cool down quicker than land","Calm weather","The condition of the atmosphere at a certain place and time","True","True","True","True","True","False","True","False","True","False","Fahrenheit","2db6e6800b0606f070cfd344d3ed31c44036ca2c53867bc015f1ef4b4a778ef2"
